OBJECTID,INCIDENT_TYPE,REPORT_TAKEN_DATE_EST,YEAR,DATA_TYPE,SUBJECT_RACE,SUBJECT_SEX,SUBJECT_ETHNICITY,BLOCK_ADDRESS,RECODE_ADD,INCIDENT_LOCATION_DISTRICT,INCIDENT_LOCATION_PSA,AGE,WARD,VOTE_PRECINCT,ADVIS_NEIGH_COMMIS,POLICE_DISTRICT,SINGLE_MEMBER_DISTRICT,POLICE_SERVICE AREA,CENSUS_TRACT,NEIGHBORHOOD_CLUSTER
624,Stop & Frisk,2010-05-28T04:20:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,800 B/O 3RD ST NE,800 3RD ST NE,1D,104,19,,,,,,,,
625,Stop & Frisk,2010-05-28T04:20:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,800 B/O 3RD ST NE,800 3RD ST NE,1D,104,18,,,,,,,,
626,Stop & Frisk,2010-05-28T04:20:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,800 B/O 3RD ST NE,800 3RD ST NE,1D,104,Juvenile,,,,,,,,
627,Stop & Frisk,2010-05-28T04:47:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1600 B/O 18TH ST SE,1600 18TH ST SE,6D,607,24,,,,,,,,
628,Stop & Frisk,2010-05-28T14:20:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1200 B/O SHEPHERD ST NW,1200 SHEPHERD ST NW,4D,404,19,,,,,,,,
629,Stop & Frisk,2010-05-28T16:38:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,500 B/O NEWCOMB ST SE,500 NEWCOMB ST SE,7D,707,22,,,,,,,,
630,Stop & Frisk,2010-05-28T18:43:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1700 B/O 6TH ST NW,1700 6TH ST NW,3D,308,Juvenile,,,,,,,,
631,Stop & Frisk,2010-05-28T18:43:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1700 B/O 6TH ST NW,1700 6TH ST NW,3D,308,Juvenile,,,,,,,,
632,Stop & Frisk,2010-05-28T18:43:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1700 B/O 6TH ST NW,1700 6TH ST NW,3D,308,18,,,,,,,,
633,Stop & Frisk,2010-05-28T18:43:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,1700 B/O 6TH ST NW,1700 6TH ST NW,3D,308,Juvenile,,,,,,,,
634,Stop & Frisk,2010-05-28T18:43:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1700 B/O 6TH ST NW,1700 6TH ST NW,3D,308,18,,,,,,,,
635,Stop & Frisk,2010-05-28T18:43:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1700 B/O 6TH ST NW,1700 6TH ST NW,3D,308,19,,,,,,,,
636,Stop & Frisk,2010-05-28T19:10:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,2900 B/O SOUTHERN AVE SE,2900 SOUTHERN AVE SE,7D,702,Juvenile,,,,,,,,
637,Stop & Frisk,2010-05-28T19:10:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,2900 B/O SOUTHERN AVE SE,2900 SOUTHERN AVE SE,7D,702,22,,,,,,,,
638,Stop & Frisk,2010-05-28T21:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,4600 B/O HILLSIDE RD SE,4600 HILLSIDE RD SE,6D,602,Juvenile,,,,,,,,
639,Stop & Frisk,2010-05-29T00:45:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,59TH ST NE / FOOTE ST NE,59TH ST NE / FOOTE ST NE,6D,602,23,,,,,,,,
640,Stop & Frisk,2010-05-29T01:29:00.000Z,2010,Person,Black,Male,Unknown,18TH PL NE / D ST NE,18TH PL NE / D ST NE,1D,103,32,,,,,,,,
641,Stop & Frisk,2010-05-29T01:45:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,14TH ST NW,14TH ST NW,2D,207,23,,,,,,,,
642,Stop & Frisk,2010-05-29T02:40:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1600 B/O 18TH ST SE,1600 18TH ST SE,6D,607,35,,,,,,,,
643,Stop & Frisk,2010-05-29T02:45:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1400 B/O RHODE ISLAND AVE NW,1400 RHODE ISLAND AVE NW,2D,208,18,,,,,,,,
644,Stop & Frisk,2010-05-29T03:30:00.000Z,2010,,,,,200 B/O 57TH ST NE,200 57TH ST NE,6D,608,,,,,,,,,
645,Stop & Frisk,2010-05-29T07:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1900 B/O 2ND ST NE,1900 2ND ST NE,5D,502,19,,,,,,,,
646,Stop & Frisk,2010-05-29T07:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1900 B/O 2ND ST NE,1900 2ND ST NE,5D,502,19,,,,,,,,
647,Stop & Frisk,2010-05-29T07:00:00.000Z,2010,Person,Unknown,Unknown,Unknown,1900 B/O 2ND ST NE,1900 2ND ST NE,5D,502,,,,,,,,,
648,Stop & Frisk,2010-05-29T07:00:00.000Z,2010,Person,Unknown,Unknown,Not Hispanic Or Latino,1900 B/O 2ND ST NE,1900 2ND ST NE,5D,502,Juvenile,,,,,,,,
649,Stop & Frisk,2010-05-29T10:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,10TH ST NW / E ST NW,10TH ST NW / E ST NW,1D,101,43,,,,,,,,
650,Stop & Frisk,2010-05-29T10:30:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,2300 B/O 15TH ST NW,2300 15TH ST NW,3D,304,23,,,,,,,,
651,Stop & Frisk,2010-05-29T10:30:00.000Z,2010,Person,Unknown,Unknown,Unknown,10TH ST NW / E ST NW,10TH ST NW / E ST NW,1D,101,,,,,,,,,
652,Stop & Frisk,2010-05-29T15:30:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,7TH ST NW / T ST NW,7TH ST NW / T ST NW,3D,305,43,,,,,,,,
653,Stop & Frisk,2010-05-29T15:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,7TH ST NW / T ST NW,7TH ST NW / T ST NW,3D,305,59,,,,,,,,
654,Stop & Frisk,2010-05-29T15:30:00.000Z,2010,Person,Black,Unknown,Not Hispanic Or Latino,7TH ST NW / T ST NW,7TH ST NW / T ST NW,3D,305,32,,,,,,,,
655,Stop & Frisk,2010-05-29T17:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,5500 B/O 2ND ST NW,5500 2ND ST NW,4D,406,26,,,,,,,,
656,Stop & Frisk,2010-05-29T17:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,5500 B/O 2ND ST NW,5500 2ND ST NW,4D,406,Juvenile,,,,,,,,
657,Stop & Frisk,2010-05-29T17:30:00.000Z,2010,Person,Unknown,Male,Hispanic Or Latino,5500 B/O 2ND ST NW,5500 2ND ST NW,4D,406,Juvenile,,,,,,,,
658,Stop & Frisk,2010-05-29T22:55:00.000Z,2010,Person,Black,Male,Unknown,L ST NE,L ST NE,1D,101,30,,,,,,,,
659,Stop & Frisk,2010-05-29T22:55:00.000Z,2010,Person,Black,Male,Unknown,L ST NE,L ST NE,1D,101,48,,,,,,,,
660,Stop & Frisk,2010-05-29T22:55:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,L ST NE,L ST NE,1D,101,47,,,,,,,,
661,Stop & Frisk,2010-05-30T00:04:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1300 B/O BRYANT ST NE,1300 BRYANT ST NE,5D,505,Juvenile,,,,,,,,
662,Stop & Frisk,2010-05-31T02:20:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,2500 B/O 18TH ST NW,2500 18TH ST NW,3D,303,61,,,,,,,,
663,Stop & Frisk,2010-05-31T04:30:00.000Z,2010,Person,Black,Male,Unknown,1100 B/O NORTH CAPITOL ST NE,1100 NORTH CAPITOL ST NE,1D,101,Juvenile,,,,,,,,
664,Stop & Frisk,2010-05-31T04:30:00.000Z,2010,Person,Black,Unknown,Not Hispanic Or Latino,1100 B/O NORTH CAPITOL ST NE,1100 NORTH CAPITOL ST NE,1D,101,Juvenile,,,,,,,,
665,Stop & Frisk,2010-05-31T05:45:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1100 B/O MCKENNA WALK NW,1100 MCKENNA WALK NW,1D,101,Juvenile,,,,,,,,
666,Stop & Frisk,2010-05-31T05:45:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1100 B/O MCKENNA WALK NW,1100 MCKENNA WALK NW,1D,101,Juvenile,,,,,,,,
667,Stop & Frisk,2010-05-31T08:24:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1900 B/O C ST NE,1900 C ST NE,5D,507,Juvenile,,,,,,,,
668,Stop & Frisk,2010-05-31T08:24:00.000Z,2010,Person,Unknown,Unknown,Unknown,1900 B/O C ST NE,1900 C ST NE,5D,507,,,,,,,,,
669,Stop & Frisk,2010-05-31T11:09:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,700 B/O 20TH ST NE,700 20TH ST NE,5D,507,42,,,,,,,,
670,Stop & Frisk,2010-05-31T15:20:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,LAMONT,LAMONT,3D,302,Juvenile,,,,,,,,
671,Stop & Frisk,2010-07-08T20:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,100 B/O MASSACHUSETTS AVE NE,100 MASSACHUSETTS AVE NE,1D,103,62,,,,,,,,
672,Stop & Frisk,2010-07-08T22:48:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,4200 B/O EDSON PL NE,4200 EDSON PL NE,6D,602,45,,,,,,,,
673,Stop & Frisk,2010-07-08T22:48:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,4200 B/O EDSON PL NE,4200 EDSON PL NE,6D,602,29,,,,,,,,
674,Stop & Frisk,2010-07-08T23:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,12TH ST NW / U ST NW,12TH ST NW / U ST NW,3D,305,45,,,,,,,,
675,Stop & Frisk,2010-07-09T02:16:00.000Z,2010,Person,White,Male,Not Hispanic Or Latino,1700 B/O 7TH ST NW,1700 7TH ST NW,3D,308,26,,,,,,,,
676,Stop & Frisk,2010-07-09T14:25:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,700 B/O MONROE ST NE,700 MONROE ST NE,5D,502,39,,,,,,,,
677,Stop & Frisk,2010-07-09T17:32:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,4500 B/O SOUTH CAPITOL ST SE,4500 SOUTH CAPITOL ST SE,7D,708,,,,,,,,,
678,Stop & Frisk,2010-07-09T19:35:00.000Z,2010,Person,Black,Male,Unknown,1000 B/O 6TH ST NE,1000 6TH ST NE,1D,102,Juvenile,,,,,,,,
679,Stop & Frisk,2010-07-09T22:20:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,1300 B/O U ST NW,1300 U ST NW,3D,305,22,,,,,,,,
680,Stop & Frisk,2010-07-09T22:20:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,1300 B/O U ST NW,1300 U ST NW,3D,305,24,,,,,,,,
681,Stop & Frisk,2010-07-09T22:20:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,1300 B/O U ST NW,1300 U ST NW,3D,305,23,,,,,,,,
682,Stop & Frisk,2010-07-09T22:20:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,1300 B/O U ST NW,1300 U ST NW,3D,305,23,,,,,,,,
683,Stop & Frisk,2010-07-09T22:20:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1300 B/O U ST NW,1300 U ST NW,3D,305,21,,,,,,,,
684,Stop & Frisk,2010-07-09T22:20:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,4000 B/O SOUTH CAPITOL ST,4000 SOUTH CAPITOL ST,7D,706,Juvenile,,,,,,,,
685,Stop & Frisk,2010-07-09T22:20:00.000Z,2010,Person,Unknown,Unknown,Unknown,1300 B/O U ST NW,1300 U ST NW,3D,305,,,,,,,,,
686,Stop & Frisk,2010-07-09T22:20:00.000Z,2010,Person,Unknown,Male,Hispanic Or Latino,1300 B/O U ST NW,1300 U ST NW,3D,305,30,,,,,,,,
687,Stop & Frisk,2010-07-09T22:20:00.000Z,2010,Person,White,Male,Hispanic Or Latino,1300 B/O U ST NW,1300 U ST NW,3D,305,40,,,,,,,,
688,Stop & Frisk,2010-07-09T22:29:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,3RD / EVARTS ST NE,3RD / EVARTS ST NE,5D,501,18,,,,,,,,
689,Stop & Frisk,2010-07-09T22:29:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,3RD / EVARTS ST NE,3RD / EVARTS ST NE,5D,501,Juvenile,,,,,,,,
690,Stop & Frisk,2010-07-09T22:29:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,3RD / EVARTS ST NE,3RD / EVARTS ST NE,5D,501,Juvenile,,,,,,,,
691,Stop & Frisk,2010-07-09T22:29:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,3RD / EVARTS ST NE,3RD / EVARTS ST NE,5D,501,Juvenile,,,,,,,,
692,Stop & Frisk,2010-07-09T22:29:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,3RD / EVARTS ST NE,3RD / EVARTS ST NE,5D,501,Juvenile,,,,,,,,
693,Stop & Frisk,2010-07-09T22:29:00.000Z,2010,Person,Black,Male,Unknown,3RD / EVARTS ST NE,3RD / EVARTS ST NE,5D,501,21,,,,,,,,
694,Stop & Frisk,2010-07-10T02:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1200 B/O 1ST PL NW,1200 1ST PL NW,1D,103,Juvenile,,,,,,,,
695,Stop & Frisk,2010-07-10T02:00:00.000Z,2010,Person,Unknown,Unknown,Unknown,1200 B/O 1ST PL NW,1200 1ST PL NW,1D,103,,,,,,,,,
696,Stop & Frisk,2010-07-10T03:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1600 B/O 28TH PL SE,1600 28TH PL SE,7D,704,18,,,,,,,,
697,Stop & Frisk,2010-07-10T03:30:00.000Z,2010,Person,Unknown,Unknown,Not Hispanic Or Latino,1600 B/O 28TH PL SE,1600 28TH PL SE,7D,704,,,,,,,,,
698,Stop & Frisk,2010-07-10T03:45:00.000Z,2010,Person,White,Female,Not Hispanic Or Latino,900 B/O 14TH ST NW,900 14TH ST NW,2D,207,23,,,,,,,,
699,Stop & Frisk,2010-07-10T04:25:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,2000 B/O CHANNING ST NE,2000 CHANNING ST NE,5D,505,23,,,,,,,,
700,Stop & Frisk,2010-07-10T07:25:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1700 B/O 22ND ST SE,1700 22ND ST SE,7D,701,33,,,,,,,,
701,Stop & Frisk,2010-07-10T13:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,400 B/O / SCAPITOL ST SW,400 / SCAPITOL ST SW,1D,104,40,,,,,,,,
702,Stop & Frisk,2010-07-10T13:00:00.000Z,2010,Person,Unknown,Unknown,Unknown,400 B/O / SCAPITOL ST SW,400 / SCAPITOL ST SW,1D,104,,,,,,,,,
703,Stop & Frisk,2010-07-10T21:51:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,3900 B/O MINNESOTA AVE NE,3900 MINNESOTA AVE NE,6D,603,54,,,,,,,,
704,Stop & Frisk,2010-07-10T21:51:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,3900 B/O MINNESOTA AVE NE,3900 MINNESOTA AVE NE,6D,603,21,,,,,,,,
705,Stop & Frisk,2010-07-10T22:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,ALLEY 1800 KALORAMA AVE NW,ALLEY 1800 KALORAMA AVE NW,3D,303,Juvenile,,,,,,,,
706,Stop & Frisk,2010-07-10T22:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,ALLEY 1800 KALORAMA AVE NW,ALLEY 1800 KALORAMA AVE NW,3D,303,Juvenile,,,,,,,,
707,Stop & Frisk,2010-07-10T22:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,ALLEY 1800 KALORAMA AVE NW,ALLEY 1800 KALORAMA AVE NW,3D,303,Juvenile,,,,,,,,
708,Stop & Frisk,2010-07-10T22:30:00.000Z,2010,Person,Unknown,Unknown,Unknown,ALLEY 1800 KALORAMA AVE NW,ALLEY 1800 KALORAMA AVE NW,3D,303,,,,,,,,,
709,Stop & Frisk,2010-07-11T00:17:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,2300 B/O PENNSYLVANIA AVE SE,2300 PENNSYLVANIA AVE SE,6D,605,41,,,,,,,,
710,Stop & Frisk,2010-07-11T00:17:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,2300 B/O PENNSYLVANIA AVE SE,2300 PENNSYLVANIA AVE SE,6D,605,42,,,,,,,,
711,Stop & Frisk,2010-07-11T00:17:00.000Z,2010,Person,Unknown,Unknown,Unknown,2300 B/O PENNSYLVANIA AVE SE,2300 PENNSYLVANIA AVE SE,6D,605,,,,,,,,,
712,Stop & Frisk,2010-07-11T01:40:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,13TH ST NW / GALLATIN ST NW,13TH ST NW / GALLATIN ST NW,4D,403,Juvenile,,,,,,,,
713,Stop & Frisk,2010-07-11T01:40:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,13TH ST NW / GALLATIN ST NW,13TH ST NW / GALLATIN ST NW,4D,403,Juvenile,,,,,,,,
714,Stop & Frisk,2010-07-11T01:41:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,13TH ST NW / GALLATIN ST NW,13TH ST NW / GALLATIN ST NW,4D,403,26,,,,,,,,
715,Stop & Frisk,2010-07-11T02:05:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,F ST NW,F ST NW,1D,101,33,,,,,,,,
716,Stop & Frisk,2010-07-11T02:05:00.000Z,2010,Person,Unknown,Unknown,Unknown,F ST NW,F ST NW,1D,101,,,,,,,,,
717,Stop & Frisk,2010-07-11T05:00:00.000Z,2010,Person,Black,Male,Unknown,14TH ST NW / FLORIDA AVE NW,14TH ST NW / FLORIDA AVE NW,3D,305,29,,,,,,,,
718,Stop & Frisk,2010-07-11T05:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,14TH ST NW / FLORIDA AVE NW,14TH ST NW / FLORIDA AVE NW,3D,305,30,,,,,,,,
719,Stop & Frisk,2010-07-11T05:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,14TH ST NW / FLORIDA AVE NW,14TH ST NW / FLORIDA AVE NW,3D,305,31,,,,,,,,
720,Stop & Frisk,2010-07-12T01:20:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,4000 B/O GEORGIA AVE NW,4000 GEORGIA AVE NW,4D,404,18,,,,,,,,
721,Stop & Frisk,2010-07-12T01:20:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,4000 B/O GEORGIA AVE NW,4000 GEORGIA AVE NW,4D,404,19,,,,,,,,
722,Stop & Frisk,2010-07-12T01:20:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,4000 B/O GEORGIA AVE NW,4000 GEORGIA AVE NW,4D,404,Juvenile,,,,,,,,
723,Stop & Frisk,2010-07-12T01:20:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,4000 B/O GEORGIA AVE NW,4000 GEORGIA AVE NW,4D,404,Juvenile,,,,,,,,
724,Stop & Frisk,2010-07-12T01:30:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,600 B/O 46TH PL SE,600 46TH PL SE,6D,604,30,,,,,,,,
725,Stop & Frisk,2010-07-12T01:30:00.000Z,2010,Person,Unknown,Unknown,Unknown,600 B/O 46TH PL SE,600 46TH PL SE,6D,604,,,,,,,,,
726,Stop & Frisk,2010-07-12T03:30:00.000Z,2010,Person,Black,Male,Unknown,3900 B/O MINNESOTA AVE NE,3900 MINNESOTA AVE NE,6D,603,49,,,,,,,,
727,Stop & Frisk,2010-07-12T15:00:00.000Z,2010,Person,Black,Female,Unknown,1700 B/O 29TH ST SE,1700 29TH ST SE,6D,607,30,,,,,,,,
728,Stop & Frisk,2010-07-12T15:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1700 B/O 29TH ST SE,1700 29TH ST SE,6D,607,41,,,,,,,,
729,Stop & Frisk,2010-07-12T21:14:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,5400 B/O HAYES ST NE,5400 HAYES ST NE,6D,608,24,,,,,,,,
730,Stop & Frisk,2010-07-12T21:14:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,5400 B/O HAYES ST NE,5400 HAYES ST NE,6D,608,Juvenile,,,,,,,,
731,Stop & Frisk,2010-07-12T22:25:00.000Z,2010,Person,Black,Male,Unknown,1600 B/O MARYLAND AVE NE,1600 MARYLAND AVE NE,5D,507,20,,,,,,,,
732,Stop & Frisk,2010-07-12T22:25:00.000Z,2010,Person,Unknown,Unknown,Unknown,1600 B/O MARYLAND AVE NE,1600 MARYLAND AVE NE,5D,507,,,,,,,,,
733,Stop & Frisk,2010-07-12T23:45:00.000Z,2010,Person,White,Male,Not Hispanic Or Latino,700 B/O 0 ST NW,700 0 ST NW,3D,308,29,,,,,,,,
734,Stop & Frisk,2010-07-12T23:58:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1500 B/O KENILWORTH AVE NE,1500 KENILWORTH AVE NE,6D,601,46,,,,,,,,
735,Stop & Frisk,2010-07-13T05:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,900 B/O 3RD ST NW,900 3RD ST NW,1D,101,25,,,,,,,,
736,Stop & Frisk,2010-07-13T05:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,900 B/O 3RD ST NW,900 3RD ST NW,1D,101,22,,,,,,,,
737,Stop & Frisk,2010-07-13T05:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,900 B/O 3RD ST NW,900 3RD ST NW,1D,101,24,,,,,,,,
738,Stop & Frisk,2010-07-13T11:26:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,2700 B/O BIRNEY PL SE,2700 BIRNEY PL SE,7D,703,26,,,,,,,,
739,Stop & Frisk,2010-07-13T11:26:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,2700 B/O BIRNEY PL SE,2700 BIRNEY PL SE,7D,703,28,,,,,,,,
740,Stop & Frisk,2010-07-13T11:26:00.000Z,2010,Person,Unknown,Unknown,Unknown,2700 B/O BIRNEY PL SE,2700 BIRNEY PL SE,7D,703,,,,,,,,,
741,Stop & Frisk,2010-07-13T13:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1200 B/O SAVANNAH PL SE,1200 SAVANNAH PL SE,7D,705,23,,,,,,,,
742,Stop & Frisk,2010-05-31T20:25:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,800 B/O TUCKERMAN ST NW,800 TUCKERMAN ST NW,4D,402,Juvenile,,,,,,,,
743,Stop & Frisk,2010-05-31T20:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,MASSACHUSETTS AVE NW / CONNECTICUT AVE NW,MASSACHUSETTS AVE NW / CONNECTICUT AVE NW,2D,208,36,,,,,,,,
744,Stop & Frisk,2010-05-31T22:33:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,5400 B/O NANNIE HELEN BURROUGHS AVE NE,5400 NANNIE HELEN BURROUGHS AVE NE,6D,608,,,,,,,,,
745,Stop & Frisk,2010-05-31T22:33:00.000Z,2010,Person,Black,Male,Unknown,5400 B/O NANNIE HELEN BURROUGHS AVE NE,5400 NANNIE HELEN BURROUGHS AVE NE,6D,608,30,,,,,,,,
746,Stop & Frisk,2010-05-31T22:33:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,5400 B/O NANNIE HELEN BURROUGHS AVE NE,5400 NANNIE HELEN BURROUGHS AVE NE,6D,608,Juvenile,,,,,,,,
747,Stop & Frisk,2010-06-01T01:15:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1000 B/O 6TH ST NE,1000 6TH ST NE,1D,104,28,,,,,,,,
748,Stop & Frisk,2010-06-01T02:00:00.000Z,2010,Person,Black,Male,Unknown,500 B/O 20TH ST NE,500 20TH ST NE,5D,507,21,,,,,,,,
749,Stop & Frisk,2010-06-01T02:00:00.000Z,2010,Person,Unknown,Unknown,Unknown,500 B/O 20TH ST NE,500 20TH ST NE,5D,507,,,,,,,,,
750,Stop & Frisk,2010-06-01T03:08:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1500 B/O 19TH ST SE,1500 19TH ST SE,6D,607,Juvenile,,,,,,,,
751,Stop & Frisk,2010-06-01T16:01:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,500 B/O SHERIDAN STNW,500 SHERIDAN STNW,4D,402,Juvenile,,,,,,,,
752,Stop & Frisk,2010-06-01T16:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,CENTER ST NW / MERIDIAN PL NW,CENTER ST NW / MERIDIAN PL NW,3D,302,Juvenile,,,,,,,,
753,Stop & Frisk,2010-06-01T18:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,13TH ST NW / JUNIPER ST NW,13TH ST NW / JUNIPER ST NW,4D,401,28,,,,,,,,
754,Stop & Frisk,2010-06-01T18:00:00.000Z,2010,Person,Unknown,Unknown,Unknown,13TH ST NW / JUNIPER ST NW,13TH ST NW / JUNIPER ST NW,4D,401,,,,,,,,,
755,Stop & Frisk,2010-06-01T20:40:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1700 B/O TRINIDAD AVE NE,1700 TRINIDAD AVE NE,5D,504,28,,,,,,,,
756,Stop & Frisk,2010-06-01T20:40:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1700 B/O TRINIDAD AVE NE,1700 TRINIDAD AVE NE,5D,504,27,,,,,,,,
757,Stop & Frisk,2010-06-01T20:40:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1700 B/O TRINIDAD AVE NE,1700 TRINIDAD AVE NE,5D,504,31,,,,,,,,
758,Stop & Frisk,2010-06-01T20:40:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1700 B/O TRINIDAD AVE NE,1700 TRINIDAD AVE NE,5D,504,23,,,,,,,,
759,Stop & Frisk,2010-06-02T17:45:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,3500 B/O 19TH ST SE,3500 19TH ST SE,7D,704,,,,,,,,,
760,Stop & Frisk,2010-06-02T17:45:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,3500 B/O 19TH ST SE,3500 19TH ST SE,7D,704,19,,,,,,,,
761,Stop & Frisk,2010-06-02T17:45:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,3500 B/O 19TH ST SE,3500 19TH ST SE,7D,704,18,,,,,,,,
762,Stop & Frisk,2010-06-02T21:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1800 B/O EAST CAPITOL ST SE,1800 EAST CAPITOL ST SE,1D,108,20,,,,,,,,
763,Stop & Frisk,2010-06-02T23:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,H ST NW,H ST NW,1D,101,Juvenile,,,,,,,,
764,Stop & Frisk,2010-06-02T23:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,H ST NW,H ST NW,1D,101,18,,,,,,,,
